,from,to,score,pair
582,PSMB7,PSMC2,957,PSMB7_PSMC2
583,PSMC1,PSMC2,997,PSMC1_PSMC2
584,PSMA6,PSMC2,969,PSMA6_PSMC2
585,PSMD11,PSMC2,996,PSMC2_PSMD11
586,PSMB1,PSMC2,973,PSMB1_PSMC2
587,PSMD3,PSMC2,996,PSMC2_PSMD3
588,PSMB6,PSMC2,963,PSMB6_PSMC2
589,PSMA5,PSMC2,989,PSMA5_PSMC2
590,PSMB4,PSMC2,986,PSMB4_PSMC2
591,PSMD1,PSMC2,998,PSMC2_PSMD1
592,PSMD2,PSMC2,998,PSMC2_PSMD2
593,PSMC5,PSMC2,997,PSMC2_PSMC5
594,PSMA8,PSMC2,789,PSMA8_PSMC2
595,PSMD12,PSMC2,996,PSMC2_PSMD12
596,PSMB5,PSMC2,963,PSMB5_PSMC2
597,PSMA7,PSMC2,985,PSMA7_PSMC2
598,PSMB2,PSMC2,966,PSMB2_PSMC2
599,PSMB9,PSMC2,708,PSMB9_PSMC2
600,PSMB8,PSMC2,730,PSMB8_PSMC2
601,PSMD14,PSMC2,997,PSMC2_PSMD14
602,RPS27A,PSMD13,888,PSMD13_RPS27A
603,UBA52,PSMD13,835,PSMD13_UBA52
604,UBC,PSMD13,861,PSMD13_UBC
605,UBB,PSMD13,848,PSMD13_UBB
606,PSMD4,PSMD13,999,PSMD13_PSMD4
607,PSMC4,PSMD13,997,PSMC4_PSMD13
608,PSMD8,PSMD13,999,PSMD13_PSMD8
609,PSMA3,PSMD13,962,PSMA3_PSMD13
610,PSMD7,PSMD13,999,PSMD13_PSMD7
611,PSMA2,PSMD13,966,PSMA2_PSMD13
612,PSMB7,PSMD13,959,PSMB7_PSMD13
613,PSMC1,PSMD13,997,PSMC1_PSMD13
614,PSMA6,PSMD13,972,PSMA6_PSMD13
615,PSMD11,PSMD13,999,PSMD11_PSMD13
616,PSMB1,PSMD13,958,PSMB1_PSMD13
617,PSMD3,PSMD13,999,PSMD13_PSMD3
618,PSMB6,PSMD13,957,PSMB6_PSMD13
619,PSMA5,PSMD13,959,PSMA5_PSMD13
620,PSMB4,PSMD13,973,PSMB4_PSMD13
621,PSMD1,PSMD13,994,PSMD1_PSMD13
622,PSMD2,PSMD13,995,PSMD13_PSMD2
623,PSMC5,PSMD13,994,PSMC5_PSMD13
624,PSMA8,PSMD13,722,PSMA8_PSMD13
625,PSMD12,PSMD13,999,PSMD12_PSMD13
626,PSMB5,PSMD13,950,PSMB5_PSMD13
627,PSMA7,PSMD13,958,PSMA7_PSMD13
628,PSMB2,PSMD13,974,PSMB2_PSMD13
629,PSMB9,PSMD13,739,PSMB9_PSMD13
630,PSMD14,PSMD13,999,PSMD13_PSMD14
631,PSMC2,PSMD13,994,PSMC2_PSMD13
632,RPS27A,PSMA1,888,PSMA1_RPS27A
633,UBA52,PSMA1,864,PSMA1_UBA52
634,UBC,PSMA1,857,PSMA1_UBC
635,UBB,PSMA1,856,PSMA1_UBB
636,PSMD4,PSMA1,991,PSMA1_PSMD4
637,PSMC4,PSMA1,955,PSMA1_PSMC4
638,PSMD8,PSMA1,984,PSMA1_PSMD8
639,PSMA3,PSMA1,999,PSMA1_PSMA3
640,PSME2,PSMA1,968,PSMA1_PSME2
641,PSMD7,PSMA1,979,PSMA1_PSMD7
642,PSMA2,PSMA1,998,PSMA1_PSMA2
643,PSMB7,PSMA1,997,PSMA1_PSMB7
644,PSMC1,PSMA1,968,PSMA1_PSMC1
645,PSMA6,PSMA1,996,PSMA1_PSMA6
646,PSMD11,PSMA1,956,PSMA1_PSMD11
647,PSMB1,PSMA1,999,PSMA1_PSMB1
648,PSMD3,PSMA1,953,PSMA1_PSMD3
649,PSMB6,PSMA1,999,PSMA1_PSMB6
650,PSMA5,PSMA1,998,PSMA1_PSMA5
651,PSMB4,PSMA1,999,PSMA1_PSMB4
652,PSME3,PSMA1,749,PSMA1_PSME3
653,PSMD1,PSMA1,972,PSMA1_PSMD1
654,PSMD2,PSMA1,980,PSMA1_PSMD2
655,PSMC5,PSMA1,946,PSMA1_PSMC5
656,PSMA8,PSMA1,972,PSMA1_PSMA8
657,PSMF1,PSMA1,963,PSMA1_PSMF1
658,PSMD12,PSMA1,976,PSMA1_PSMD12
659,PSMB10,PSMA1,993,PSMA1_PSMB10
660,PSMB5,PSMA1,997,PSMA1_PSMB5
661,PSMA7,PSMA1,998,PSMA1_PSMA7
662,PSMB2,PSMA1,996,PSMA1_PSMB2
663,PSMB9,PSMA1,994,PSMA1_PSMB9
664,PSMB8,PSMA1,993,PSMA1_PSMB8
665,PSME1,PSMA1,970,PSMA1_PSME1
666,PSME4,PSMA1,977,PSMA1_PSME4
667,PSMB11,PSMA1,816,PSMA1_PSMB11
668,PSMD14,PSMA1,982,PSMA1_PSMD14
669,PSMC2,PSMA1,986,PSMA1_PSMC2
670,PSMD13,PSMA1,969,PSMA1_PSMD13
671,RPS27A,PSMD6,886,PSMD6_RPS27A
672,UBA52,PSMD6,835,PSMD6_UBA52
673,UBC,PSMD6,861,PSMD6_UBC
674,UBB,PSMD6,848,PSMD6_UBB
675,PSMD4,PSMD6,998,PSMD4_PSMD6
676,PSMC4,PSMD6,998,PSMC4_PSMD6
677,PSMD8,PSMD6,999,PSMD6_PSMD8
678,PSMA3,PSMD6,962,PSMA3_PSMD6
679,PSME2,PSMD6,723,PSMD6_PSME2
680,PSMD7,PSMD6,999,PSMD6_PSMD7
681,PSMA2,PSMD6,967,PSMA2_PSMD6
682,PSMB7,PSMD6,950,PSMB7_PSMD6
683,PSMC1,PSMD6,997,PSMC1_PSMD6
684,PSMA6,PSMD6,955,PSMA6_PSMD6
685,PSMD11,PSMD6,999,PSMD11_PSMD6
686,PSMB1,PSMD6,954,PSMB1_PSMD6
687,PSMD3,PSMD6,999,PSMD3_PSMD6
688,PSMB6,PSMD6,952,PSMB6_PSMD6
689,PSMA5,PSMD6,959,PSMA5_PSMD6
690,PSMB4,PSMD6,960,PSMB4_PSMD6
691,PSMD1,PSMD6,997,PSMD1_PSMD6
692,PSMD2,PSMD6,996,PSMD2_PSMD6
693,PSMC5,PSMD6,997,PSMC5_PSMD6
694,PSMA8,PSMD6,773,PSMA8_PSMD6
695,PSMD12,PSMD6,999,PSMD12_PSMD6
696,PSMB10,PSMD6,733,PSMB10_PSMD6
697,PSMB5,PSMD6,953,PSMB5_PSMD6
698,PSMA7,PSMD6,957,PSMA7_PSMD6
699,PSMB2,PSMD6,963,PSMB2_PSMD6
700,PSMB9,PSMD6,729,PSMB9_PSMD6
701,PSMD14,PSMD6,999,PSMD14_PSMD6
702,PSMC2,PSMD6,991,PSMC2_PSMD6
703,PSMD13,PSMD6,999,PSMD13_PSMD6
704,PSMA1,PSMD6,958,PSMA1_PSMD6
705,RPS27A,PSMC3,892,PSMC3_RPS27A
706,UBA52,PSMC3,835,PSMC3_UBA52
707,UBC,PSMC3,908,PSMC3_UBC
708,UBB,PSMC3,862,PSMC3_UBB
709,PSMD4,PSMC3,998,PSMC3_PSMD4
710,PSMC4,PSMC3,998,PSMC3_PSMC4
711,PSMD8,PSMC3,997,PSMC3_PSMD8
712,PSMA3,PSMC3,989,PSMA3_PSMC3
713,PSMD7,PSMC3,995,PSMC3_PSMD7
714,PSMA2,PSMC3,963,PSMA2_PSMC3
715,PSMB7,PSMC3,964,PSMB7_PSMC3
716,PSMC1,PSMC3,998,PSMC1_PSMC3
717,PSMA6,PSMC3,971,PSMA6_PSMC3
718,PSMD11,PSMC3,995,PSMC3_PSMD11
719,PSMB1,PSMC3,966,PSMB1_PSMC3
720,PSMD3,PSMC3,995,PSMC3_PSMD3
721,PSMB6,PSMC3,951,PSMB6_PSMC3
722,PSMA5,PSMC3,992,PSMA5_PSMC3
723,PSMB4,PSMC3,949,PSMB4_PSMC3
724,PSMD1,PSMC3,998,PSMC3_PSMD1
725,PSMD2,PSMC3,998,PSMC3_PSMD2
726,PSMC5,PSMC3,994,PSMC3_PSMC5
727,PSMA8,PSMC3,761,PSMA8_PSMC3
728,PSMD12,PSMC3,996,PSMC3_PSMD12
729,PSMB5,PSMC3,964,PSMB5_PSMC3
730,PSMA7,PSMC3,945,PSMA7_PSMC3
731,PSMB2,PSMC3,965,PSMB2_PSMC3
732,PSMB8,PSMC3,754,PSMB8_PSMC3
733,PSMD14,PSMC3,997,PSMC3_PSMD14
734,PSMC2,PSMC3,997,PSMC2_PSMC3
735,PSMD13,PSMC3,997,PSMC3_PSMD13
736,PSMA1,PSMC3,988,PSMA1_PSMC3
737,PSMD6,PSMC3,996,PSMC3_PSMD6
738,RPS27A,PSMB3,888,PSMB3_RPS27A
739,UBA52,PSMB3,835,PSMB3_UBA52
740,UBC,PSMB3,848,PSMB3_UBC
741,UBB,PSMB3,848,PSMB3_UBB
742,PSMD4,PSMB3,987,PSMB3_PSMD4
743,PSMC4,PSMB3,975,PSMB3_PSMC4
744,PSMD8,PSMB3,964,PSMB3_PSMD8
745,PSMA3,PSMB3,999,PSMA3_PSMB3
746,PSME2,PSMB3,929,PSMB3_PSME2
747,PSMD7,PSMB3,964,PSMB3_PSMD7
748,PSMA2,PSMB3,999,PSMA2_PSMB3
749,PSMB7,PSMB3,998,PSMB3_PSMB7
750,PSMC1,PSMB3,963,PSMB3_PSMC1
751,PSMA6,PSMB3,994,PSMA6_PSMB3
752,PSMD11,PSMB3,965,PSMB3_PSMD11
753,PSMB1,PSMB3,999,PSMB1_PSMB3
754,PSMD3,PSMB3,978,PSMB3_PSMD3
755,PSMB6,PSMB3,998,PSMB3_PSMB6
756,PSMA5,PSMB3,999,PSMA5_PSMB3
757,PSMB4,PSMB3,998,PSMB3_PSMB4
758,PSMD1,PSMB3,963,PSMB3_PSMD1
759,PSMD2,PSMB3,972,PSMB3_PSMD2
760,PSMC5,PSMB3,961,PSMB3_PSMC5
761,PSMA8,PSMB3,960,PSMA8_PSMB3
762,PSMF1,PSMB3,959,PSMB3_PSMF1
763,PSMD12,PSMB3,969,PSMB3_PSMD12
764,PSMB10,PSMB3,996,PSMB10_PSMB3
765,PSMB5,PSMB3,998,PSMB3_PSMB5
766,PSMA7,PSMB3,999,PSMA7_PSMB3
767,PSMB2,PSMB3,998,PSMB2_PSMB3
768,PSMB9,PSMB3,991,PSMB3_PSMB9
769,PSMB8,PSMB3,995,PSMB3_PSMB8
770,PSME1,PSMB3,915,PSMB3_PSME1
771,PSME4,PSMB3,946,PSMB3_PSME4
772,PSMB11,PSMB3,720,PSMB11_PSMB3
773,PSMD14,PSMB3,986,PSMB3_PSMD14
774,PSMC2,PSMB3,975,PSMB3_PSMC2
775,PSMD13,PSMB3,969,PSMB3_PSMD13
776,PSMA1,PSMB3,998,PSMA1_PSMB3
777,PSMD6,PSMB3,958,PSMB3_PSMD6
778,PSMC3,PSMB3,963,PSMB3_PSMC3
779,MTOR,PSMC6,734,MTOR_PSMC6
780,RPS27A,PSMC6,888,PSMC6_RPS27A
781,UBA52,PSMC6,887,PSMC6_UBA52
782,UBC,PSMC6,864,PSMC6_UBC
783,UBB,PSMC6,848,PSMC6_UBB
784,PSMD4,PSMC6,998,PSMC6_PSMD4
785,PSMC4,PSMC6,996,PSMC4_PSMC6
786,PSMD8,PSMC6,998,PSMC6_PSMD8
787,PSMA3,PSMC6,980,PSMA3_PSMC6
788,PSMD7,PSMC6,995,PSMC6_PSMD7
789,PSMA2,PSMC6,972,PSMA2_PSMC6
790,PSMB7,PSMC6,974,PSMB7_PSMC6
791,PSMC1,PSMC6,998,PSMC1_PSMC6
792,PSMA6,PSMC6,987,PSMA6_PSMC6
793,PSMD11,PSMC6,997,PSMC6_PSMD11
794,PSMB1,PSMC6,960,PSMB1_PSMC6
795,PSMD3,PSMC6,993,PSMC6_PSMD3
796,PSMB6,PSMC6,976,PSMB6_PSMC6
797,PSMA5,PSMC6,971,PSMA5_PSMC6
798,PSMB4,PSMC6,978,PSMB4_PSMC6
799,PSMD1,PSMC6,998,PSMC6_PSMD1
800,PSMD2,PSMC6,997,PSMC6_PSMD2
801,PSMC5,PSMC6,996,PSMC5_PSMC6
802,PSMA8,PSMC6,751,PSMA8_PSMC6
803,PSMD12,PSMC6,998,PSMC6_PSMD12
804,PSMB5,PSMC6,976,PSMB5_PSMC6
805,PSMA7,PSMC6,969,PSMA7_PSMC6
806,PSMB2,PSMC6,960,PSMB2_PSMC6
807,PSMB9,PSMC6,759,PSMB9_PSMC6
808,PSMD14,PSMC6,996,PSMC6_PSMD14
809,PSMC2,PSMC6,994,PSMC2_PSMC6
810,PSMD13,PSMC6,996,PSMC6_PSMD13
811,PSMA1,PSMC6,971,PSMA1_PSMC6
812,PSMD6,PSMC6,997,PSMC6_PSMD6
813,PSMC3,PSMC6,997,PSMC3_PSMC6
814,PSMB3,PSMC6,960,PSMB3_PSMC6
815,ZAP70,PLCG1,831,PLCG1_ZAP70
816,FYN,PLCG1,841,FYN_PLCG1
817,GRB2,PLCG1,998,GRB2_PLCG1
818,ZAP70,GRAP2,876,GRAP2_ZAP70
819,FYN,GRAP2,908,FYN_GRAP2
820,LCK,GRAP2,873,GRAP2_LCK
821,GRB2,GRAP2,993,GRAP2_GRB2
822,PLCG1,GRAP2,989,GRAP2_PLCG1
823,AKT1,SRC,981,AKT1_SRC
824,FYN,SRC,998,FYN_SRC
825,LCK,SRC,867,LCK_SRC
826,GRB2,SRC,993,GRB2_SRC
827,GRAP2,SRC,874,GRAP2_SRC
828,AKT1,WAS,936,AKT1_WAS
829,FYN,WAS,895,FYN_WAS
830,LCK,WAS,700,LCK_WAS
